ID_Scula,Tip_Scula,Model_Scula,Turatie_RPM,Avans_mm_min,Adancime_Aschiere_mm,Debit_Lichid_racire_L_min,Temperatura_C,Vibratii_mm_s,Uzura_procent,Zgomot_dB,Material_Prelucrat,Tip_Operatie,ID_Lot,Scula_Defecta,Tip_Defect
1,Freza,FREZA CARBURA Ø10 4F,1859,1037.96,0.97,19.76,145.07,10.34,69.2,96.91,Otel,Frezare,381,1,Supraincalzire
2,Freza,FREZA CARBURA Ø10 4F,4202,825.99,2.11,16.35,98.04,3.22,98.5,95.06,Inox,Frezare,179,1,Uzura excesiva
3,Freza,FREZA CARBURA Ø10 4F,5932,1052.2,0.85,17.79,35.13,1.56,3.7,71.39,Inox,Frezare,191,0,Niciunul
4,Freza,FREZA CARBURA Ø10 4F,3702,365.76,0.64,9.57,45.43,1.69,18,62.35,Aluminiu,Frezare,230,0,Niciunul
5,Freza,FREZA CARBURA Ø10 4F,3727,594.82,0.54,6.16,86.89,11.07,54,81.43,Inox,Frezare,370,1,Vibratii
6,Freza,FREZA CARBURA Ø10 4F,4548,722.87,2.03,18.46,45.62,0.8,11.9,64.76,Inox,Frezare,218,0,Niciunul
7,Freza,FREZA CARBURA Ø10 4F,2122,478.86,2.77,19.53,120.78,10.53,84.4,90.31,Aluminiu,Frezare,8,1,Vibratii
8,Freza,FREZA CARBURA Ø10 4F,2875,383.25,2.26,5.8,124.72,10.64,70.7,94.51,Otel,Frezare,488,1,Supraincalzire
9,Freza,FREZA CARBURA Ø10 4F,3664,1149.24,2.52,11.63,64.9,0.62,3.7,72.64,Otel,Frezare,255,0,Niciunul
10,Freza,FREZA CARBURA Ø10 4F,2469,270.97,1.04,12.28,41.63,1.75,16.1,60.3,Inox,Frezare,127,0,Niciunul
11,Freza,FREZA CARBURA Ø10 4F,5090,804.12,1.07,9.51,45.09,0.89,7.8,62.7,Aluminiu,Frezare,405,0,Niciunul
12,Freza,FREZA CARBURA Ø10 4F,2978,683.08,2.98,18.72,46.09,1.9,0.6,72.38,Inox,Frezare,430,0,Niciunul
13,Freza,FREZA CARBURA Ø10 4F,2252,815.4,0.21,15.08,59.42,1.75,2.5,61.3,Inox,Frezare,197,0,Niciunul
14,Freza,FREZA CARBURA Ø10 4F,2536,731.93,2.53,10.26,36.81,0.83,16.2,71.56,Otel,Frezare,432,0,Niciunul
15,Freza,FREZA CARBURA Ø10 4F,2438,953.8,1.29,15.77,51.2,1.52,7.3,60.39,Inox,Frezare,175,0,Niciunul
16,Freza,FREZA CARBURA Ø10 4F,1847,977.86,1.43,13.89,143.31,11.43,56.3,85.55,Aluminiu,Frezare,384,1,Vibratii
17,Freza,FREZA CARBURA Ø10 4F,5063,1126.31,1.17,15.96,136.15,9.44,99.6,85.39,Otel,Frezare,473,1,Uzura excesiva
18,Freza,FREZA CARBURA Ø10 4F,3406,622.99,2.75,8.12,101.59,9.32,58.9,90.86,Aluminiu,Frezare,220,1,Supraincalzire
19,Freza,FREZA CARBURA Ø10 4F,5728,987.73,1.97,5.15,47.78,1.86,10.5,60.02,Otel,Frezare,234,0,Niciunul
20,Freza,FREZA CARBURA Ø10 4F,5002,724.49,1,7.41,62.94,1.43,17.7,60.42,Otel,Frezare,403,0,Niciunul
21,Freza,FREZA CARBURA Ø10 4F,5944,904.23,2.85,19.28,49.35,1.87,1.1,64.28,Inox,Frezare,350,0,Niciunul
22,Freza,FREZA CARBURA Ø10 4F,2443,793.83,0.3,12.77,56.62,0.87,13.2,60.9,Otel,Frezare,101,0,Niciunul
23,Freza,FREZA CARBURA Ø10 4F,4332,622.3,1.44,9.51,55.15,0.67,1.2,68.42,Inox,Frezare,193,0,Niciunul
24,Freza,FREZA CARBURA Ø10 4F,3134,1098.68,2.05,15.12,35.07,1.21,3.4,74.21,Otel,Frezare,149,0,Niciunul
25,Freza,FREZA CARBURA Ø10 4F,3269,824.76,1.41,7.49,100.29,9.14,90.3,88.31,Otel,Frezare,19,1,Vibratii
26,Freza,FREZA CARBURA Ø10 4F,3882,1171.83,2.97,5.76,111.54,9.94,45.3,80.23,Aluminiu,Frezare,176,1,Uzura excesiva
27,Freza,FREZA CARBURA Ø10 4F,1636,325.34,2.74,17.85,52.71,1.89,5.2,69.23,Inox,Frezare,30,0,Niciunul
28,Freza,FREZA CARBURA Ø10 4F,3816,822.66,2.4,5.84,44.83,1.53,12.2,68.73,Otel,Frezare,203,0,Niciunul
29,Freza,FREZA CARBURA Ø10 4F,4151,895.48,1.72,7.73,149.03,3.68,94.2,96.56,Aluminiu,Frezare,33,1,Vibratii
30,Freza,FREZA CARBURA Ø10 4F,3522,857.87,1.79,9.3,53,0.95,19.7,63.45,Inox,Frezare,361,0,Niciunul
31,Freza,FREZA CARBURA Ø10 4F,4228,736.88,0.95,16.11,47.32,1.25,19.1,67.55,Otel,Frezare,215,0,Niciunul
32,Freza,FREZA CARBURA Ø10 4F,3518,694.84,0.59,6.28,55.33,1.3,17.3,70.28,Aluminiu,Frezare,85,0,Niciunul
33,Freza,FREZA CARBURA Ø10 4F,4196,952.81,2.76,12.88,35.31,1.81,8.3,71.49,Otel,Frezare,314,0,Niciunul
34,Freza,FREZA CARBURA Ø10 4F,3173,942.77,1.26,19.77,36.76,1.25,4.7,74.63,Inox,Frezare,148,0,Niciunul
