ID_Scula,Tip_Scula,Model_Scula,Turatie_RPM,Avans_mm_min,Adancime_Aschiere_mm,Debit_Lichid_racire_L_min,Temperatura_C,Vibratii_mm_s,Uzura_procent,Zgomot_dB,Material_Prelucrat,Tip_Operatie,ID_Lot,Scula_Defecta,Tip_Defect
1,Freza,FREZA CARBURA Ø10 4F,3094,957.1,1.49,12.43,88.55,2.55,86.6,79.03,Aluminiu,Frezare,76,1,Uzura excesiva
2,Freza,FREZA CARBURA Ø10 4F,2442,1052.24,1.85,12.46,37.71,1.54,18.8,62.36,Aluminiu,Frezare,216,0,Niciunul
3,Freza,FREZA CARBURA Ø10 4F,4316,1177.29,1.36,13.95,51.57,0.83,10.9,62.49,Otel,Frezare,45,0,Niciunul
4,Freza,FREZA CARBURA Ø10 4F,4022,439.43,1.47,5.92,68.12,1.61,15.4,63.78,Otel,Frezare,394,0,Niciunul
5,Freza,FREZA CARBURA Ø10 4F,5606,1012.75,0.1,8.0,152.75,2.85,29.7,81.6,Aluminiu,Frezare,270,1,Supraincalzire
6,Freza,FREZA CARBURA Ø10 4F,1670,462.85,2.8,16.82,62.9,8.5,37.5,101.03,Otel,Frezare,180,1,Vibratii
7,Freza,FREZA CARBURA Ø10 4F,5338,521.34,0.37,10.47,72.36,7.71,20.2,90.07,Aluminiu,Frezare,467,1,Vibratii
8,Freza,FREZA CARBURA Ø10 4F,2746,1036.07,2.13,15.82,57.08,1.13,19.8,74.87,Otel,Frezare,40,0,Niciunul
9,Freza,FREZA CARBURA Ø10 4F,1892,202.45,0.27,15.74,89.44,4.44,99.3,72.19,Otel,Frezare,419,1,Uzura excesiva
10,Freza,FREZA CARBURA Ø10 4F,2166,283.58,1.89,17.42,51.9,0.68,1.0,62.88,Otel,Frezare,10,0,Niciunul
11,Freza,FREZA CARBURA Ø10 4F,3234,1043.44,2.05,11.97,127.83,3.24,37.6,83.79,Aluminiu,Frezare,461,1,Supraincalzire
12,Freza,FREZA CARBURA Ø10 4F,5981,301.63,2.66,13.05,42.95,0.67,18.4,61.89,Otel,Frezare,193,0,Niciunul
13,Freza,FREZA CARBURA Ø10 4F,3336,845.43,0.39,7.31,44.6,1.99,5.8,69.04,Otel,Frezare,309,0,Niciunul
14,Freza,FREZA CARBURA Ø10 4F,3750,543.65,0.13,5.5,57.34,0.75,0.1,68.59,Aluminiu,Frezare,178,0,Niciunul
