ID_Scula,Tip_Scula,Model_Scula,Turatie_RPM,Avans_mm_min,Adancime_Aschiere_mm,Debit_Lichid_racire_L_min,Temperatura_C,Vibratii_mm_s,Uzura_procent,Zgomot_dB,Material_Prelucrat,Tip_Operatie,ID_Lot,Scula_Defecta,Tip_Defect
1,Freza,FREZA CARBURA Ø10 4F,5536,879.59,0.35,5.03,62.86,1.61,12.7,72.9,Otel,Frezare,425,0,Niciunul
2,Freza,FREZA CARBURA Ø10 4F,4158,842.28,2.51,7.64,55.0,11.22,29.5,74.88,Inox,Frezare,131,1,Vibratii
3,Freza,FREZA CARBURA Ø10 4F,2320,934.91,0.15,15.2,65.6,4.56,29.2,67.35,Aluminiu,Frezare,319,1,Vibratii
4,Freza,FREZA CARBURA Ø10 4F,2119,1141.25,0.51,11.94,43.75,0.81,12.3,66.8,Aluminiu,Frezare,446,0,Niciunul
5,Freza,FREZA CARBURA Ø10 4F,1665,641.84,2.61,12.69,64.44,1.02,12.0,65.33,Inox,Frezare,445,0,Niciunul
6,Freza,FREZA CARBURA Ø10 4F,4377,285.02,0.69,15.26,47.73,1.36,12.6,74.2,Inox,Frezare,288,0,Niciunul
7,Freza,FREZA CARBURA Ø10 4F,4506,747.85,1.73,11.2,82.85,5.42,44.4,67.55,Aluminiu,Frezare,256,1,Vibratii
8,Freza,FREZA CARBURA Ø10 4F,5559,337.79,1.74,10.17,65.13,1.18,70.4,64.1,Aluminiu,Frezare,203,1,Uzura excesiva
9,Freza,FREZA CARBURA Ø10 4F,5864,731.72,1.83,7.16,62.82,6.02,44.5,73.0,Inox,Frezare,384,1,Vibratii
10,Freza,FREZA CARBURA Ø10 4F,3345,454.68,1.37,19.43,64.89,1.65,69.0,73.44,Inox,Frezare,99,1,Uzura excesiva
11,Freza,FREZA CARBURA Ø10 4F,4347,470.47,1.44,18.89,99.8,2.97,10.4,63.69,Aluminiu,Frezare,496,1,Niciunul
12,Freza,FREZA CARBURA Ø10 4F,5329,980.22,0.95,10.57,58.98,1.05,1.1,70.71,Inox,Frezare,207,0,Niciunul
13,Freza,FREZA CARBURA Ø10 4F,4784,332.49,2.48,13.59,69.46,2.58,54.6,66.77,Inox,Frezare,156,1,Uzura excesiva
14,Freza,FREZA CARBURA Ø10 4F,2140,600.36,1.54,16.62,84.11,1.45,72.8,73.24,Aluminiu,Frezare,101,1,Uzura excesiva
15,Freza,FREZA CARBURA Ø10 4F,3644,748.84,1.38,16.43,67.37,9.06,28.8,63.34,Otel,Frezare,26,1,Vibratii
16,Freza,FREZA CARBURA Ø10 4F,3081,488.76,1.55,14.6,59.27,0.64,17.4,62.49,Inox,Frezare,7,0,Niciunul
17,Freza,FREZA CARBURA Ø10 4F,2140,987.28,2.84,9.96,70.02,4.18,40.4,70.25,Inox,Frezare,94,1,Vibratii
18,Freza,FREZA CARBURA Ø10 4F,4893,325.65,0.21,9.66,55.0,1.69,7.1,72.74,Inox,Frezare,156,0,Niciunul
19,Freza,FREZA CARBURA Ø10 4F,4793,536.0,2.98,5.57,36.03,1.55,2.5,65.45,Aluminiu,Frezare,22,0,Niciunul
20,Freza,FREZA CARBURA Ø10 4F,5061,389.79,0.96,7.06,81.16,3.35,30.5,63.74,Inox,Frezare,166,1,Niciunul
21,Freza,FREZA CARBURA Ø10 4F,5988,972.71,0.59,18.44,59.8,1.37,15.5,71.3,Otel,Frezare,310,0,Niciunul
22,Freza,FREZA CARBURA Ø10 4F,1607,794.8,0.81,18.11,66.73,0.87,18.2,64.92,Otel,Frezare,474,0,Niciunul
23,Freza,FREZA CARBURA Ø10 4F,3666,942.08,2.33,6.24,54.63,1.13,69.4,70.4,Aluminiu,Frezare,465,1,Uzura excesiva
24,Freza,FREZA CARBURA Ø10 4F,3062,771.22,0.82,9.39,111.31,3.5,12.8,60.26,Otel,Frezare,121,1,Supraincalzire
25,Freza,FREZA CARBURA Ø10 4F,5100,655.71,2.07,13.91,55.3,3.51,57.7,69.92,Otel,Frezare,12,1,Uzura excesiva
26,Freza,FREZA CARBURA Ø10 4F,2640,884.98,0.82,11.91,93.9,2.87,34.0,69.42,Inox,Frezare,127,1,Supraincalzire
27,Freza,FREZA CARBURA Ø10 4F,4861,214.9,1.17,19.78,84.61,3.06,51.3,72.02,Otel,Frezare,485,1,Niciunul
28,Freza,FREZA CARBURA Ø10 4F,3018,463.09,1.99,11.57,37.0,1.77,6.4,66.37,Aluminiu,Frezare,73,0,Niciunul
29,Freza,FREZA CARBURA Ø10 4F,1938,800.69,1.25,19.81,44.33,1.22,19.3,74.39,Aluminiu,Frezare,465,0,Niciunul
30,Freza,FREZA CARBURA Ø10 4F,1761,751.71,2.74,13.03,106.49,0.96,10.4,61.82,Aluminiu,Frezare,7,1,Supraincalzire
31,Freza,FREZA CARBURA Ø10 4F,3304,974.29,1.74,7.52,77.24,3.21,63.2,61.48,Aluminiu,Frezare,231,1,Uzura excesiva
32,Freza,FREZA CARBURA Ø10 4F,3305,514.21,2.07,11.25,60.82,1.03,52.6,70.68,Inox,Frezare,292,1,Uzura excesiva
