ID_Scula,Tip_Scula,Model_Scula,Turatie_RPM,Avans_mm_min,Adancime_Aschiere_mm,Debit_Lichid_racire_L_min,Temperatura_C,Vibratii_mm_s,Uzura_procent,Zgomot_dB,Material_Prelucrat,Tip_Operatie,ID_Lot,Scula_Defecta,Tip_Defect
197,Freza,FREZA HSS Ø8 2F,5617,774.51,2.51,9.6,103.33,3.38,18.0,64.6,Otel,Frezare,129,1,Supraincalzire
360,Burghiu,CARBIDE DRILL Ø12,3191,718.4,2.97,16.35,44.78,1.21,17.9,63.52,Inox,Gaurire,214,0,Niciunul
272,Burghiu,HSS DRILL Ø6,2903,577.17,2.87,6.23,59.52,0.73,1.3,72.52,Inox,Gaurire,104,0,Niciunul
112,Tarod,TAROD M10 ISO2,5882,303.9,0.42,17.69,51.63,9.4,46.9,62.33,Otel,Filetare,41,1,Vibratii
13,Burghiu,CARBIDE DRILL Ø12,5927,1136.65,2.8,12.75,62.37,1.36,4.6,63.08,Otel,Gaurire,261,0,Niciunul
52,Placuta amovibila,WNMG080408,5106,504.66,0.88,18.26,87.88,1.11,74.0,67.28,Aluminiu,Strunjire,28,1,Uzura excesiva
452,Placuta amovibila,WNMG080408,4074,696.64,2.89,8.08,83.62,2.32,33.4,60.76,Otel,Strunjire,17,1,Niciunul
594,Freza,FREZA HSS Ø8 2F,4902,650.68,0.51,19.53,44.91,1.3,19.0,64.98,Otel,Frezare,479,0,Niciunul
72,Placuta amovibila,CNMG120408,2718,505.26,2.67,10.91,70.18,10.4,47.8,73.26,Aluminiu,Strunjire,213,1,Vibratii
60,Tarod,TAROD M10 ISO2,5247,769.17,2.12,12.66,59.27,11.98,42.6,65.89,Inox,Filetare,297,1,Vibratii
456,Tarod,TAROD M10 ISO2,5719,599.33,2.78,16.15,91.27,2.72,34.9,68.44,Aluminiu,Filetare,262,1,Supraincalzire
561,Placuta amovibila,WNMG080408,4466,1103.39,2.11,19.45,60.41,7.77,47.9,72.38,Inox,Strunjire,51,1,Vibratii
297,Placuta amovibila,WNMG080408,2423,305.44,0.36,17.94,96.2,2.99,13.1,74.3,Aluminiu,Strunjire,110,1,Supraincalzire
326,Freza,FREZA CARBURA Ø10 4F,2333,899.67,2.17,7.94,66.26,3.09,31.6,63.6,Otel,Frezare,106,1,Vibratii
249,Freza,FREZA CARBURA Ø10 4F,2552,1033.35,2.94,16.2,109.5,2.96,27.5,72.02,Inox,Frezare,54,1,Supraincalzire
572,Burghiu,HSS DRILL Ø6,4216,458.71,2.89,11.83,81.24,3.53,69.0,71.63,Otel,Gaurire,172,1,Uzura excesiva
8,Burghiu,CARBIDE DRILL Ø12,5854,723.47,1.33,6.48,69.94,5.91,56.9,67.32,Otel,Gaurire,104,1,Vibratii
70,Tarod,TAROD M10 ISO2,4581,817.53,0.58,14.93,52.12,1.41,16.4,63.43,Inox,Filetare,398,0,Niciunul
565,Freza,FREZA CARBURA Ø10 4F,3188,454.37,2.79,18.8,64.57,1.07,76.4,71.41,Aluminiu,Frezare,293,1,Uzura excesiva
42,Freza,FREZA CARBURA Ø10 4F,3898,541.59,1.6,15.96,84.41,1.55,59.2,62.31,Inox,Frezare,230,1,Uzura excesiva
120,Freza,FREZA CARBURA Ø10 4F,1685,336.43,1.85,18.85,43.5,1.5,19.4,63.66,Inox,Frezare,193,0,Niciunul
584,Burghiu,CARBIDE DRILL Ø12,4402,541.07,0.3,6.09,97.97,1.63,13.9,74.82,Otel,Gaurire,207,1,Supraincalzire
197,Burghiu,CARBIDE DRILL Ø12,5476,355.71,0.16,11.78,87.07,4.53,38.9,67.32,Inox,Gaurire,247,1,Vibratii
293,Placuta amovibila,WNMG080408,4201,727.07,0.71,14.04,59.44,0.9,15.8,71.3,Aluminiu,Strunjire,465,0,Niciunul
533,Placuta amovibila,WNMG080408,5899,527.19,1.65,16.41,58.74,1.47,18.4,60.41,Otel,Strunjire,7,0,Niciunul
129,Placuta amovibila,CNMG120408,4879,230.17,0.67,12.09,73.19,1.17,71.5,73.04,Otel,Strunjire,412,1,Uzura excesiva
478,Burghiu,CARBIDE DRILL Ø12,5369,809.42,1.75,12.15,36.29,1.5,10.4,66.46,Inox,Gaurire,235,0,Niciunul
280,Tarod,TAROD M10 ISO2,2690,395.05,2.79,7.69,68.6,1.75,2.0,73.2,Otel,Filetare,117,0,Niciunul
534,Burghiu,HSS DRILL Ø6,5101,992.26,0.52,19.66,83.46,3.57,21.3,66.68,Inox,Gaurire,158,1,Supraincalzire
163,Burghiu,CARBIDE DRILL Ø12,2038,767.4,1.43,13.92,48.02,1.51,0.6,69.22,Otel,Gaurire,229,0,Niciunul
214,Placuta amovibila,CNMG120408,5450,1194.86,0.41,13.16,54.75,1.43,11.9,66.61,Inox,Strunjire,314,0,Niciunul
518,Freza,FREZA HSS Ø8 2F,2006,488.11,2.75,7.74,79.63,4.53,47.5,71.63,Aluminiu,Frezare,94,1,Vibratii
128,Burghiu,CARBIDE DRILL Ø12,2941,1038.07,1.63,16.59,61.12,1.06,15.6,65.56,Otel,Gaurire,373,0,Niciunul
85,Tarod,TAROD M10 ISO2,4512,586.9,0.43,17.55,50.33,1.92,17.3,72.27,Aluminiu,Filetare,411,0,Niciunul
244,Burghiu,HSS DRILL Ø6,2353,888.71,1.89,8.7,56.8,2.43,53.6,66.33,Otel,Gaurire,478,1,Uzura excesiva
83,Freza,FREZA CARBURA Ø10 4F,5595,1167.22,1.46,5.48,84.45,2.24,53.4,63.11,Otel,Frezare,243,1,Uzura excesiva
338,Freza,FREZA HSS Ø8 2F,4871,911.59,2.93,13.76,35.91,1.13,6.3,66.01,Inox,Frezare,54,0,Niciunul
318,Burghiu,HSS DRILL Ø6,5683,1062.69,2.05,10.44,82.01,4.99,36.7,70.08,Aluminiu,Gaurire,395,1,Vibratii
149,Burghiu,HSS DRILL Ø6,4072,231.88,1.65,6.36,60.74,1.0,16.9,61.58,Otel,Gaurire,113,0,Niciunul
526,Placuta amovibila,WNMG080408,3130,852.15,2.23,10.62,39.33,0.68,10.9,60.73,Aluminiu,Strunjire,79,0,Niciunul
398,Burghiu,CARBIDE DRILL Ø12,4300,599.89,2.18,18.51,90.14,3.62,14.3,71.06,Aluminiu,Gaurire,299,1,Supraincalzire
538,Freza,FREZA CARBURA Ø10 4F,1675,777.21,2.44,11.07,63.97,1.55,8.4,61.61,Otel,Frezare,45,0,Niciunul
312,Burghiu,CARBIDE DRILL Ø12,4919,1165.09,1.44,10.47,98.93,1.51,26.8,60.36,Aluminiu,Gaurire,494,1,Supraincalzire
171,Burghiu,CARBIDE DRILL Ø12,5749,617.44,2.96,16.77,41.34,0.77,10.5,61.77,Otel,Gaurire,381,0,Niciunul
553,Freza,FREZA HSS Ø8 2F,5398,711.75,0.52,6.22,63.05,0.84,12.4,66.03,Aluminiu,Frezare,179,0,Niciunul
348,Tarod,TAROD M10 ISO2,1974,470.77,2.02,18.56,61.3,1.78,3.0,66.31,Inox,Filetare,431,0,Niciunul
95,Tarod,TAROD M10 ISO2,3758,473.56,1.78,17.79,58.59,2.02,72.1,63.07,Otel,Filetare,107,1,Uzura excesiva
54,Burghiu,HSS DRILL Ø6,4778,513.57,2.88,19.12,102.62,3.5,37.4,60.92,Inox,Gaurire,128,1,Supraincalzire
256,Placuta amovibila,CNMG120408,1664,514.89,0.13,6.02,67.03,1.47,18.5,63.25,Aluminiu,Strunjire,479,0,Niciunul
124,Placuta amovibila,CNMG120408,2706,218.33,1.62,13.14,79.87,9.78,30.8,69.94,Inox,Strunjire,37,1,Vibratii
165,Placuta amovibila,WNMG080408,3697,1189.42,2.82,7.4,45.67,1.12,7.2,73.26,Aluminiu,Strunjire,156,0,Niciunul
208,Tarod,TAROD M10 ISO2,5358,866.57,1.42,18.79,62.18,1.57,11.0,60.83,Aluminiu,Filetare,405,0,Niciunul
59,Freza,FREZA HSS Ø8 2F,2694,394.1,0.72,8.4,116.7,2.24,22.7,73.08,Otel,Frezare,312,1,Supraincalzire
177,Freza,FREZA HSS Ø8 2F,2794,390.2,2.1,15.35,64.52,0.61,14.4,62.91,Inox,Frezare,245,0,Niciunul
64,Burghiu,HSS DRILL Ø6,3128,804.65,2.68,12.31,82.15,11.6,33.2,63.15,Aluminiu,Gaurire,233,1,Niciunul
255,Freza,FREZA HSS Ø8 2F,4422,529.33,1.26,16.04,52.85,0.57,8.2,64.97,Aluminiu,Frezare,450,0,Niciunul
136,Burghiu,CARBIDE DRILL Ø12,2798,1044.35,1.07,11.56,101.04,1.02,12.9,71.67,Otel,Gaurire,138,1,Supraincalzire
89,Freza,FREZA CARBURA Ø10 4F,4735,527.83,1.75,12.4,98.24,2.82,31.7,61.8,Inox,Frezare,190,1,Supraincalzire
565,Placuta amovibila,WNMG080408,2534,286.31,1.76,16.97,81.0,0.94,17.3,60.28,Otel,Strunjire,469,1,Niciunul
461,Burghiu,HSS DRILL Ø6,2078,1072.66,2.06,14.03,39.0,1.07,4.3,70.45,Otel,Gaurire,428,0,Niciunul
343,Placuta amovibila,CNMG120408,4593,624.13,2.66,6.3,36.13,1.96,7.8,64.47,Inox,Strunjire,409,0,Niciunul
168,Placuta amovibila,WNMG080408,2257,1016.34,2.28,13.9,44.56,0.66,9.7,72.18,Aluminiu,Strunjire,128,0,Niciunul
130,Freza,FREZA HSS Ø8 2F,4854,804.71,0.11,15.13,69.42,0.99,11.5,64.51,Otel,Frezare,85,0,Niciunul
282,Freza,FREZA HSS Ø8 2F,3949,1125.04,2.38,7.59,67.12,0.53,18.8,60.86,Aluminiu,Frezare,60,0,Niciunul
461,Freza,FREZA HSS Ø8 2F,4813,610.52,1.54,10.54,58.89,1.87,18.3,64.89,Otel,Frezare,355,0,Niciunul
572,Freza,FREZA HSS Ø8 2F,5716,1066.57,1.02,12.08,80.87,10.05,25.8,73.6,Aluminiu,Frezare,468,1,Vibratii
546,Placuta amovibila,CNMG120408,3540,1053.76,2.09,10.02,57.19,1.04,16.4,71.94,Otel,Strunjire,200,0,Niciunul
424,Burghiu,HSS DRILL Ø6,3255,1125.34,0.19,17.64,117.44,1.26,38.4,61.91,Aluminiu,Gaurire,347,1,Supraincalzire
153,Placuta amovibila,WNMG080408,2229,699.46,1.54,14.73,59.79,9.1,52.8,74.35,Otel,Strunjire,108,1,Vibratii
360,Placuta amovibila,CNMG120408,5551,451.49,2.18,12.6,53.88,4.36,72.0,73.49,Otel,Strunjire,275,1,Uzura excesiva
370,Placuta amovibila,CNMG120408,1509,874.46,0.63,5.56,58.37,0.95,11.3,63.11,Otel,Strunjire,478,0,Niciunul
42,Placuta amovibila,CNMG120408,2149,216.9,0.86,17.52,49.79,0.96,8.9,67.45,Otel,Strunjire,36,0,Niciunul
155,Tarod,TAROD M10 ISO2,5696,528.84,1.37,18.52,87.5,3.3,75.0,62.38,Aluminiu,Filetare,211,1,Uzura excesiva
353,Burghiu,HSS DRILL Ø6,5337,1058.7,1.62,7.61,70.07,5.99,24.7,68.92,Otel,Gaurire,442,1,Niciunul
588,Freza,FREZA HSS Ø8 2F,4866,992.06,0.68,14.9,49.57,1.28,16.6,61.62,Otel,Frezare,487,0,Niciunul
62,Burghiu,HSS DRILL Ø6,4048,925.29,2.36,7.13,44.5,0.89,12.1,64.76,Otel,Gaurire,408,0,Niciunul
77,Freza,FREZA HSS Ø8 2F,1618,642.41,0.1,15.84,47.51,1.79,11.3,64.96,Aluminiu,Frezare,77,0,Niciunul
272,Placuta amovibila,WNMG080408,4967,996.54,0.43,6.42,60.62,1.78,2.4,68.88,Otel,Strunjire,500,0,Niciunul
548,Freza,FREZA HSS Ø8 2F,1548,319.23,2.9,12.95,75.95,2.54,77.0,61.49,Otel,Frezare,94,1,Niciunul
471,Freza,FREZA CARBURA Ø10 4F,1908,774.09,2.51,19.93,57.15,0.83,3.7,70.81,Aluminiu,Frezare,46,0,Niciunul
106,Placuta amovibila,WNMG080408,3982,585.58,1.66,15.48,65.85,0.94,13.8,66.76,Otel,Strunjire,441,0,Niciunul
432,Freza,FREZA HSS Ø8 2F,5964,905.67,0.11,18.63,50.91,4.69,40.8,66.63,Inox,Frezare,106,1,Uzura excesiva
308,Placuta amovibila,CNMG120408,4182,403.33,1.13,16.5,62.52,0.98,7.6,65.86,Aluminiu,Strunjire,163,0,Niciunul
587,Placuta amovibila,WNMG080408,5246,591.3,0.25,12.71,63.77,0.86,16.0,71.68,Aluminiu,Strunjire,152,0,Niciunul
67,Tarod,TAROD M10 ISO2,5348,1052.85,2.74,19.55,55.93,3.23,65.6,61.67,Inox,Filetare,462,1,Uzura excesiva
117,Burghiu,HSS DRILL Ø6,3458,969.26,0.2,14.73,64.81,0.7,11.4,74.13,Aluminiu,Gaurire,22,0,Niciunul
481,Burghiu,CARBIDE DRILL Ø12,2683,779.68,0.78,13.93,69.53,1.37,9.7,63.96,Otel,Gaurire,265,0,Niciunul
185,Freza,FREZA CARBURA Ø10 4F,3467,1142.73,1.73,15.5,83.37,4.79,54.6,74.29,Inox,Frezare,416,1,Uzura excesiva
273,Freza,FREZA CARBURA Ø10 4F,2896,1191.29,1.87,12.21,38.31,0.95,1.2,64.78,Inox,Frezare,74,0,Niciunul
210,Burghiu,CARBIDE DRILL Ø12,2636,690.09,0.47,18.84,110.89,2.73,27.5,67.52,Otel,Gaurire,338,1,Supraincalzire
474,Burghiu,HSS DRILL Ø6,4702,1102.66,0.16,12.93,38.64,0.55,7.9,67.15,Aluminiu,Gaurire,495,0,Niciunul
475,Placuta amovibila,CNMG120408,4860,579.13,1.0,13.09,99.69,1.05,26.4,72.54,Inox,Strunjire,23,1,Supraincalzire
254,Freza,FREZA CARBURA Ø10 4F,2376,393.86,2.76,8.52,36.04,1.72,11.1,65.44,Otel,Frezare,201,0,Niciunul
51,Burghiu,HSS DRILL Ø6,4299,1053.83,1.73,6.66,111.72,2.81,39.9,62.36,Otel,Gaurire,339,1,Niciunul
437,Burghiu,HSS DRILL Ø6,4931,945.5,0.54,5.83,64.29,4.34,65.5,63.98,Aluminiu,Gaurire,289,1,Uzura excesiva
550,Placuta amovibila,CNMG120408,3486,394.18,1.58,15.48,53.37,1.32,2.5,66.16,Otel,Strunjire,493,0,Niciunul
276,Placuta amovibila,CNMG120408,5070,744.35,1.29,11.52,81.42,4.58,53.7,66.75,Aluminiu,Strunjire,192,1,Uzura excesiva
36,Tarod,TAROD M10 ISO2,5996,235.28,2.95,5.78,61.72,8.96,31.4,68.75,Aluminiu,Filetare,63,1,Vibratii
241,Placuta amovibila,WNMG080408,5155,258.85,0.82,15.43,55.51,1.94,6.8,71.51,Otel,Strunjire,87,0,Niciunul
204,Freza,FREZA CARBURA Ø10 4F,4686,495.64,1.89,17.45,81.75,1.66,53.1,71.14,Aluminiu,Frezare,461,1,Uzura excesiva
527,Placuta amovibila,CNMG120408,4940,1007.98,0.3,10.05,65.4,0.92,17.5,60.52,Inox,Strunjire,131,0,Niciunul
95,Burghiu,HSS DRILL Ø6,2584,835.24,1.37,18.82,96.96,3.07,36.4,61.17,Aluminiu,Gaurire,488,1,Supraincalzire
192,Placuta amovibila,WNMG080408,2633,421.67,2.17,18.44,76.61,3.35,58.2,63.55,Aluminiu,Strunjire,384,1,Uzura excesiva
482,Placuta amovibila,CNMG120408,2639,586.05,1.53,18.86,46.94,1.22,18.8,60.54,Aluminiu,Strunjire,208,0,Niciunul
247,Burghiu,CARBIDE DRILL Ø12,2991,262.19,1.13,9.73,47.74,1.54,11.4,69.42,Inox,Gaurire,278,0,Niciunul
221,Placuta amovibila,CNMG120408,2127,452.32,0.77,15.11,62.55,1.49,18.7,65.02,Otel,Strunjire,270,0,Niciunul
297,Placuta amovibila,CNMG120408,3159,1024.01,1.9,7.86,93.7,0.72,34.9,65.55,Inox,Strunjire,16,1,Supraincalzire
185,Placuta amovibila,CNMG120408,5720,552.83,2.88,10.79,46.3,1.48,5.3,60.49,Otel,Strunjire,330,0,Niciunul
365,Placuta amovibila,CNMG120408,4096,1029.38,2.54,8.53,45.92,0.63,6.7,70.5,Inox,Strunjire,121,0,Niciunul
375,Tarod,TAROD M10 ISO2,2275,896.65,0.57,15.89,62.76,1.52,4.0,72.63,Inox,Filetare,231,0,Niciunul
319,Placuta amovibila,WNMG080408,4547,637.44,0.25,6.69,54.51,5.94,25.8,68.45,Aluminiu,Strunjire,202,1,Vibratii
356,Placuta amovibila,WNMG080408,4413,1121.31,2.35,14.33,68.62,4.36,78.2,65.02,Inox,Strunjire,153,1,Niciunul
18,Burghiu,HSS DRILL Ø6,3444,316.04,2.93,12.82,49.7,1.27,16.9,68.52,Inox,Gaurire,128,0,Niciunul
416,Freza,FREZA CARBURA Ø10 4F,4216,777.04,2.19,18.24,41.7,0.85,5.0,62.9,Otel,Frezare,190,0,Niciunul
15,Burghiu,HSS DRILL Ø6,3902,346.07,0.41,16.44,84.15,1.15,30.1,67.18,Inox,Gaurire,8,1,Supraincalzire
444,Tarod,TAROD M10 ISO2,2693,760.81,0.75,10.79,69.31,1.06,15.6,72.64,Inox,Filetare,426,0,Niciunul
175,Freza,FREZA HSS Ø8 2F,2911,744.9,1.61,10.66,43.49,0.91,19.4,61.52,Otel,Frezare,10,0,Niciunul
322,Freza,FREZA CARBURA Ø10 4F,5063,836.97,1.67,16.62,59.39,7.66,49.4,68.64,Aluminiu,Frezare,128,1,Vibratii
9,Freza,FREZA HSS Ø8 2F,4536,930.29,2.74,15.06,50.1,1.6,0.5,66.36,Otel,Frezare,478,0,Niciunul
282,Tarod,TAROD M10 ISO2,5041,829.81,2.04,14.88,37.85,0.86,4.3,69.54,Inox,Filetare,434,0,Niciunul
96,Tarod,TAROD M10 ISO2,5769,279.0,0.83,7.84,47.87,0.6,9.5,62.18,Inox,Filetare,263,0,Niciunul
410,Burghiu,CARBIDE DRILL Ø12,5522,1197.12,0.26,6.06,55.43,0.94,8.8,70.58,Aluminiu,Gaurire,406,0,Niciunul
454,Placuta amovibila,CNMG120408,3719,1134.16,1.33,19.77,101.31,1.07,13.4,61.49,Otel,Strunjire,169,1,Supraincalzire
75,Placuta amovibila,CNMG120408,2334,1164.01,2.68,16.28,91.09,2.79,21.7,64.4,Otel,Strunjire,392,1,Supraincalzire
338,Freza,FREZA CARBURA Ø10 4F,3595,965.54,0.98,10.38,35.71,1.73,10.5,69.01,Inox,Frezare,44,0,Niciunul
65,Freza,FREZA HSS Ø8 2F,4035,729.0,2.1,18.25,84.94,10.71,41.5,62.27,Inox,Frezare,242,1,Vibratii
40,Freza,FREZA CARBURA Ø10 4F,1840,623.07,2.22,15.51,76.26,8.07,46.9,63.95,Inox,Frezare,234,1,Vibratii
405,Burghiu,HSS DRILL Ø6,3902,801.39,1.79,12.91,35.67,0.9,11.5,67.65,Otel,Gaurire,378,0,Niciunul
149,Freza,FREZA HSS Ø8 2F,1866,539.09,2.04,5.02,86.83,1.1,22.4,73.45,Otel,Frezare,123,1,Supraincalzire
64,Placuta amovibila,CNMG120408,3231,375.43,0.82,11.7,50.25,0.53,3.2,65.59,Aluminiu,Strunjire,80,0,Niciunul
351,Tarod,TAROD M10 ISO2,2402,872.33,1.11,15.74,53.62,1.37,3.1,70.37,Inox,Filetare,92,0,Niciunul
457,Freza,FREZA CARBURA Ø10 4F,2779,237.58,1.29,17.52,115.98,3.11,29.5,68.42,Inox,Frezare,27,1,Niciunul
372,Tarod,TAROD M10 ISO2,4620,465.03,2.91,14.52,86.34,11.16,51.3,66.33,Inox,Filetare,165,1,Vibratii
586,Placuta amovibila,WNMG080408,2673,886.22,2.41,17.64,50.81,11.95,21.6,64.66,Otel,Strunjire,49,1,Vibratii
418,Freza,FREZA CARBURA Ø10 4F,4729,523.88,1.27,6.27,48.21,1.46,0.2,68.64,Inox,Frezare,325,0,Niciunul
26,Placuta amovibila,CNMG120408,5538,467.59,2.56,16.16,51.7,9.81,39.0,72.24,Aluminiu,Strunjire,148,1,Vibratii
189,Freza,FREZA CARBURA Ø10 4F,1970,560.84,2.9,19.72,39.01,1.88,12.7,73.24,Aluminiu,Frezare,9,0,Niciunul
358,Freza,FREZA HSS Ø8 2F,1543,423.14,0.93,6.15,96.91,3.31,36.6,72.03,Aluminiu,Frezare,31,1,Supraincalzire
118,Tarod,TAROD M10 ISO2,2461,581.19,1.13,18.66,52.33,3.93,50.6,69.72,Aluminiu,Filetare,29,1,Niciunul
519,Freza,FREZA HSS Ø8 2F,4273,633.62,0.27,6.53,96.73,1.25,36.5,71.29,Aluminiu,Frezare,61,1,Supraincalzire
11,Burghiu,CARBIDE DRILL Ø12,3460,1148.96,1.13,18.24,84.48,6.95,56.6,60.5,Inox,Gaurire,292,1,Vibratii
504,Burghiu,CARBIDE DRILL Ø12,2175,1070.12,2.57,5.47,62.82,1.6,46.1,70.85,Aluminiu,Gaurire,372,1,Uzura excesiva
132,Freza,FREZA CARBURA Ø10 4F,5623,585.08,1.7,15.78,55.17,0.6,8.1,74.28,Aluminiu,Frezare,83,0,Niciunul
497,Tarod,TAROD M10 ISO2,3346,294.67,1.39,18.36,64.1,1.18,77.5,69.43,Inox,Filetare,115,1,Uzura excesiva
