ID_Scula,Tip_Scula,Model_Scula,Turatie_RPM,Avans_mm_min,Adancime_Aschiere_mm,Debit_Lichid_racire_L_min,Temperatura_C,Vibratii_mm_s,Uzura_procent,Zgomot_dB,Material_Prelucrat,Tip_Operatie,ID_Lot,Scula_Defecta,Tip_Defect
130,Freza,FREZA CARBURA Ø10 4F,2447,462.24,2.95,17.76,47.22,1.05,7.8,62.29,Inox,Frezare,127,0,Niciunul
298,Burghiu,CARBIDE DRILL Ø12,2610,603.44,2.85,9.98,37.36,1.47,10.7,72.97,Aluminiu,Gaurire,159,0,Niciunul
193,Freza,FREZA CARBURA Ø10 4F,2793,1189.07,1.56,15.6,69.79,1.06,17.5,63.32,Otel,Frezare,345,0,Niciunul
67,Placuta amovibila,CNMG120408,2519,582.01,1.3,18.55,130.82,10.54,70.3,84.57,Aluminiu,Strunjire,246,1,Supraincalzire
78,Burghiu,HSS DRILL Ø6,3776,664.8,1.25,13.88,114.25,8.75,99.1,87.78,Otel,Gaurire,224,1,Vibratii
86,Burghiu,CARBIDE DRILL Ø12,3780,861.03,1.28,19.11,114.83,5.76,72.0,85.7,Aluminiu,Gaurire,425,1,Uzura excesiva
96,Freza,FREZA HSS Ø8 2F,2258,989.39,2.1,19.6,96.5,3.77,93.8,86.91,Otel,Frezare,410,1,Supraincalzire
208,Freza,FREZA HSS Ø8 2F,4499,966.22,1.83,11.83,51.84,1.98,2.9,71.71,Aluminiu,Frezare,87,0,Niciunul
70,Burghiu,HSS DRILL Ø6,2535,939.91,0.78,10.22,144.58,9.65,89.3,94.96,Otel,Gaurire,307,1,Supraincalzire
18,Placuta amovibila,CNMG120408,2169,702.56,2.05,12.27,41.87,1.3,18.9,74.79,Aluminiu,Strunjire,288,0,Niciunul
78,Freza,FREZA CARBURA Ø10 4F,1677,908.81,1.42,10.4,40.0,0.66,1.5,73.97,Inox,Frezare,456,0,Niciunul
283,Burghiu,HSS DRILL Ø6,3774,927.03,2.58,5.35,41.81,1.34,4.7,66.35,Inox,Gaurire,384,0,Niciunul
157,Burghiu,CARBIDE DRILL Ø12,4357,465.73,0.42,17.53,118.6,11.3,43.3,81.58,Otel,Gaurire,203,1,Vibratii
61,Freza,FREZA HSS Ø8 2F,3723,418.88,0.38,12.81,44.94,0.97,4.0,66.51,Otel,Frezare,302,0,Niciunul
110,Burghiu,CARBIDE DRILL Ø12,4264,292.35,0.55,6.13,66.24,1.82,7.6,62.95,Inox,Gaurire,21,0,Niciunul
166,Burghiu,CARBIDE DRILL Ø12,2194,1190.9,0.6,9.45,94.54,4.01,64.4,95.19,Aluminiu,Gaurire,173,1,Vibratii
75,Burghiu,HSS DRILL Ø6,1739,563.57,1.8,5.74,38.32,1.18,0.3,65.97,Aluminiu,Gaurire,291,0,Niciunul
16,Freza,FREZA CARBURA Ø10 4F,4102,661.41,1.36,18.36,50.04,1.63,4.9,67.01,Aluminiu,Frezare,339,0,Niciunul
